Encounter.mediaAsset0,Encounter.mediaAsset1,Encounter.mediaAsset2,Encounter.mediaAsset3,Encounter.mediaAsset4,Encounter.mediaAsset5,Encounter.mediaAsset6,Encounter.mediaAsset7,Encounter.mediaAsset8,Encounter.mediaAsset9,Encounter.locationID,Encounter.verbatimLocality,Encounter.decimalLatitude,Encounter.decimalLongitude,Encounter.year,Encounter.month,Encounter.day,Encounter.hour,Encounter.minutes,Encounter.occurrenceRemarks,Encounter.photographer0.fullName,Encounter.photographer0.affiliation,Encounter.photographer0.emailAddress,Encounter.genus,Encounter.specificEpithet,Encounter.submitterX.affiliation,Encounter.submitterX.emailAddress,Encounter.state,Encounter.mediaAsset0.keywords,Encounter.Keywords0,Encounter.Keywords1,Encounter.mediaAsset1.keywords,Encounter.mediaAsset2.keywords,Encounter.mediaAsset3.keywords,Encounter.mediaAsset4.keywords,Encounter.mediaAsset5.keywords,Encounter.mediaAsset6.keywords,Encounter.mediaAsset7.keywords,Encounter.mediaAsset8.keywords,Encounter.mediaAsset9.keywords,Encounter.measurement0,Encounter.measurement1,Encounter.measurement2,Encounter.distinguishingScar,Encounter.livingStatus,Encounter.lifeStage,Encounter.depth,Encounter.behavior,Encounter.sex,Encounter.individualID,Encounter.identificationRemarks,Encounter.informOtherX.affiliation,Encounter.informOtherX.emailAddress,Encounter.informOtherX.fullName,Encounter.submitterOrganization,TissueSample.sampleID
00009_-_00_00_02_00_-_8_ID0_box7.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00013_-_00_01_07_750_-_271_ID15_box279.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00015_-_00_00_27_250_-_109_ID4_box109.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00015_-_00_00_28_750_-_115_ID5_box121.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00015_-_00_01_01_250_-_245_ID21_box261.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00015_-_00_01_03_250_-_253_ID26_box270.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00015_-_00_01_04_00_-_256_ID27_box274.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00015_-_00_01_46_250_-_425_ID48_box457.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00015_-_00_02_05_00_-_500_ID59_box538.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00015_-_00_02_08_250_-_513_ID60_box551.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00015_-_00_02_16_500_-_546_ID62_box585.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00015_-_00_02_31_750_-_607_ID71_box649.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00015_-_00_02_40_500_-_642_ID76_box689.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00015_-_00_03_42_750_-_891_ID117_box950.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00015_-_00_04_02_750_-_971_ID124_box1032.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00020_-_00_00_49_250_-_197_ID22_box206.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00020_-_00_01_52_500_-_450_ID50_box506.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00020_-_00_01_59_250_-_477_ID53_box542.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00020_-_00_02_01_500_-_486_ID54_box554.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00020_-_00_02_09_250_-_517_ID58_box585.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00022_-_00_01_00_750_-_243_ID3_box242.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00022_-_00_02_19_00_-_556_ID17_box561.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00022_-_00_02_23_00_-_572_ID20_box586.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00022_-_00_02_24_750_-_579_ID20_box596.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_00_03_250_-_13_ID1_box16.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_00_07_250_-_29_ID2_box43.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_00_25_750_-_103_ID9_box124.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_00_32_500_-_130_ID12_box167.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_00_43_00_-_172_ID23_box253.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_00_43_00_-_172_ID22_box254.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_00_49_500_-_198_ID26_box290.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_01_17_250_-_309_ID62_box527.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_01_23_750_-_335_ID76_box655.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_01_23_750_-_335_ID69_box658.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_01_23_750_-_335_ID51_box656.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_01_26_250_-_345_ID61_box711.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_01_42_750_-_411_ID107_box855.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_01_57_00_-_468_ID114_box925.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_02_12_750_-_531_ID124_box1012.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_02_20_500_-_562_ID132_box1065.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_02_24_00_-_576_ID141_box1109.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_02_28_500_-_594_ID144_box1156.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_02_28_250_-_593_ID143_box1155.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_02_47_500_-_670_ID166_box1321.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_02_51_500_-_686_ID170_box1379.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_03_09_750_-_759_ID195_box1538.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00023_-_00_03_52_250_-_929_ID241_box1871.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
